"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",48,"3.2%","1.7%","4.9%","35%","56%",131,157,174,1.9,"60.0%","23.6%","2%",-131,29,-3.7,8.3,"25.1%",509,"24.7%","22.5%",0.39,0.19
"Ahri","Middle",292,"19.5%","12.7%","32.1%","50%","50%",901,545,1764,4.9,"71.4%","15.0%","8%",60,11,1,8.5,"25.0%",532,"25.7%","22.8%",0.49,0.31
"Akali","Middle",146,"9.7%","13.5%","23.5%","39%","63%",566,356,487,3,"63.4%","20.0%","5%",-63,74,-0.3,8.2,"24.8%",486,"23.9%","23.2%",0.24,0.21
"Akali","Top",4,"0.3%","13.5%","23.5%","25%","100%",11,16,16,1.7,"54.0%","18.2%","0%",108,300,-1.5,8,"26.7%",395,"19.8%","22.6%",0.31,0.28
"Akshan","-",0,"0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Alistar","Support",139,"9.3%","7.7%","16.9%","49%","65%",81,453,1225,2.9,"71.4%","24.7%","19%",-5,-32,0.2,1,"1.9%",130,"6.2%","8.8%",1.72,0.3
"Amumu","Jungle",6,"0.4%","0.1%","0.7%","83%","100%",12,19,55,3.5,"74.4%","29.7%","50%",212,144,1.4,5.8,"17.5%",337,"15.7%","17.6%",0.24,0.36
"Amumu","Support",4,"0.3%","0.1%","0.7%","50%","100%",2,14,25,1.9,"69.2%","31.8%","0%",-164,-111,-0.8,1.1,"2.7%",127,"6.2%","7.9%",1.76,0.36
"Anivia","Middle",1,"0.1%","0.0%","0.1%","0%","100%",3,4,2,1.3,"62.5%","20.0%","100%",-24,284,15,8.3,"26.2%",524,"26.6%","24.0%",0.48,0.2
"Annie","Middle",285,"19.0%","28.0%","50.8%","52%","39%",682,714,1910,3.6,"71.2%","20.9%","5%",28,13,0.5,7.5,"20.3%",542,"25.8%","21.2%",0.32,0.21
"Annie","Support",57,"3.8%","28.0%","50.8%","56%","32%",56,141,494,3.9,"78.0%","22.1%","7%",-74,-169,-6.8,0.7,"2.6%",227,"10.8%","9.8%",0.99,0.43
"Aphelios","ADC",520,"34.6%","10.2%","44.8%","48%","43%",1966,1245,2098,3.3,"66.5%","18.8%","7%",23,-34,1.5,9.8,"33.1%",605,"28.6%","27.7%",0.41,0.37
"Ashe","ADC",73,"4.9%","26.6%","38.7%","38%","67%",224,193,438,3.4,"72.0%","18.8%","16%",76,47,1,8.8,"27.3%",542,"23.6%","24.3%",0.41,0.37
"Ashe","Support",109,"7.3%","26.6%","38.7%","49%","22%",85,294,907,3.4,"73.2%","20.3%","11%",110,42,-6.4,1.1,"4.2%",355,"15.2%","10.6%",2.04,0.68
"Aurelion Sol","Middle",20,"1.3%","1.5%","2.9%","40%","65%",96,33,87,5.5,"78.5%","12.0%","5%",-187,-196,-9.2,9.5,"30.2%",673,"32.4%","26.9%",0.45,0.19
"Azir","Middle",381,"25.4%","16.8%","42.3%","49%","46%",1132,904,1812,3.3,"67.6%","19.6%","13%",-12,56,1.2,9,"26.9%",631,"29.4%","24.2%",0.41,0.26
"Azir","Support",1,"0.1%","16.8%","42.3%","0%","100%",0,5,3,0.6,"37.5%","20.0%","0%",92,-282,-5,0.7,"2.6%",280,"13.7%","8.5%",1.5,0.49
"Azir","Top",1,"0.1%","16.8%","42.3%","0%","0%",0,4,1,0.3,"10.0%","26.7%","0%",-405,-715,-6,7.5,"21.0%",338,"19.2%","16.7%",0,0.1
"Bel'Veth","Jungle",2,"0.1%","0.1%","0.2%","100%","50%",11,3,11,7.3,"75.9%","21.4%","-","-","-","-",8.1,"-",479,"21.5%","25.7%",0.24,0.37
"Blitzcrank","Support",78,"5.2%","6.3%","11.5%","58%","94%",71,258,632,2.7,"60.9%","26.2%","12%",-104,-129,0.6,1.1,"2.1%",167,"7.7%","9.0%",1.73,0.32
"Braum","Support",102,"6.8%","4.1%","10.9%","45%","78%",48,321,875,2.9,"77.0%","23.0%","12%",-39,25,0.9,1.1,"2.0%",157,"7.4%","8.8%",1.62,0.31
"Caitlyn","ADC",82,"5.5%","21.5%","27.8%","57%","29%",314,137,327,4.7,"65.7%","15.5%","21%",222,45,6,9.6,"31.0%",561,"25.7%","26.9%",0.31,0.39
"Caitlyn","Support",13,"0.9%","21.5%","27.8%","54%","69%",20,38,87,2.8,"60.1%","20.5%","23%",483,2,-0.4,1.6,"7.0%",393,"15.6%","14.6%",1.59,0.98
"Camille","Top",45,"3.0%","2.0%","5.0%","49%","78%",138,128,176,2.5,"53.0%","21.9%","11%",-12,-9,-4.7,8.1,"24.6%",458,"21.1%","23.5%",0.29,0.19
"Cassiopeia","Middle",28,"1.9%","2.9%","4.8%","43%","82%",64,63,123,3,"61.5%","18.5%","11%",-36,-90,-0.2,8.6,"24.2%",470,"23.2%","23.1%",0.44,0.2
"Cho'Gath","ADC",2,"0.1%","0.5%","1.6%","50%","100%",5,5,2,1.4,"50.0%","14.3%","0%",-44,316,12,8.6,"28.3%",343,"17.5%","23.7%",0.39,0.16
"Cho'Gath","Top",15,"1.0%","0.5%","1.6%","47%","87%",29,44,59,2,"55.3%","21.2%","13%",-79,-101,0.5,7.4,"20.4%",461,"20.9%","21.6%",0.41,0.16
